센터명,센터유형,도로명주소,지번주소,위도,경도,관리기관전화번호,운영기관전화번호,관할지자체,주요프로그램,데이터기준일자
울산광역시남구치매안심센터,치매안심센터,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.54535759,129.3363268,052-226-2317,052-226-2323,울산광역시 남구,상담 및 등록관리사업+조기검진사업+쉼터운영사업+가족지원사업+치매인식개선홍보사업,2026-05-22
대전광역시 대덕구 치매안심센터,치매안심센터,"대전광역시 대덕구 동춘당로 187, 3층","대전광역시 대덕구 법동 192-1, 3층",36.367296,127.430828,042-608-5426,042-608-5426,대전광역시 대덕구,"무료 치매검사, 치매 가족교육, 치매 예방교육, 치매 인지교실, 조호물품 제공 등",2026-06-23
대전광역시유성구치매안심센터,치매안심센터,"대전광역시 유성구 박산로 177, 2층",대전광역시 유성구 구암동 91-6,36.3538097,127.3286392,042-611-5121,042-611-5018,대전광역시 유성구,치매조기검진+치매환자 인지프로그램+가족지원사업+치매극복의 날 기념행사 등,2026-05-12
옹진군치매안심센터,치매안심센터,인천광역시 옹진군 백령면 백령로833번길 26-29,인천광역시 옹진군 백령면 북포리 522-6,37.95793845,124.6647433,032-899-3670,032-899-3670,인천광역시 옹진군,쉼터+치매예방+인지강화교실,2026-06-27
효성평생건강센터,치매안심센터,인천광역시 계양구 봉오대로543번길 21,,37.532527,126.7086103,032-450-1845,032-450-1845,인천광역시 계양구,치매조기검진+치매환자지원사업+치매환자쉼터운영,2026-05-18
계양구보건소 치매안심센터,치매안심센터,인천광역시 계양구 계양문화로 63,,37.536446,126.736242,032-430-7867,032-430-7867,인천광역시 계양구,조기검진 및 등록관리+ 치매환자지원사업+ 치매예방관리사업+ 치매환자 쉼터운영+ 치매환자 가족및보호자지원사업+ 치매인식개선사업+ 맞춤형사례관리사업 등,2026-05-18
인천광역시 동구 구립 치매전담형 주간보호센터 동구동락,치매안심센터,인천광역시 동구 방축로 193,인천광역시 동구 송림동 297-20,37.47927144,126.6661296,032-760-4942,032-575-0019,인천광역시 제물포구,치매환자 신체활동 지원+기능 회복훈련+건강 및 간호관리+인지관리+치매환자와 가족에 대한 교육 및 지원,2026-06-05
인천광역시 동구 치매안심센터,치매안심센터,인천광역시 동구 방축로 193,인천광역시 동구 송림동 297-20,37.47927144,126.6661296,032-772-6307,032-772-6307,인천광역시 제물포구,상담 및 등록관리+치매 조기검진+치매예방관리+치매환자 쉼터 운영+치매지원 서비스+치매가족 및 보호자 지원사업+치매 인식개선 및 교육·홍보 사업+치매 안심마을 운영,2026-06-05
대구남구치매안심센터,치매안심센터,대구광역시 남구 영선길 34,대구광역시 남구 대명동 2003,35.853883,128.5915237,053-664-3695,053-664-3694,대구광역시 남구,"치매조기검진사업, 치매환자 및 가족프로그램 운영, 치매예방교육 및 인식개선사업 등",2026-05-01
대구광역시중구치매안심센터,치매안심센터,대구광역시 중구 태평로 45,대구광역시 중구 태평로3가 174-1,35.87790606,128.5833355,053-661-3911,053-661-3911,대구광역시 중구,선별검사+진단검사+상담+치매예방교육+기억쉼터 운영 및 인지재활프로그램+가족교실 운영+맞춤형사례관리 등,2026-06-17
강동구치매안심센터,치매안심센터,서울특별시 강동구 성내로 45,서울특별시 강동구 성내동 541-2,37.52954199,127.1255855,02-3425-6773,02-489-1130,서울특별시 강동구,치매예방및인식개선+치매조기검진+치매및고위험인지재활프로그램+치매치료비지원+치매지역자원강화 등,2026-04-21
은평구치매안심센터,치매안심센터,서울특별시 은평구 연서로34길 11,서울특별시 은평구 불광동 130-2,37.6215461,126.9276913,02-351-8801,02-388-8233,서울특별시 은평구,"치매 조기검진 및 등록관리, 치료비 지원 및 사례관리, 인지건강프로그램 운영, 치매예방 교육 및 홍보",2026-05-20
노원구치매안심센터,치매안심센터,서울특별시 노원구 수락산로 212-20 마들보건지소 4~5층,서울특별시 노원구 상계1동 1035-1 마들보건지소 4~5층,37.6714558,127.055257,02-2116-4353,02-911-7778,서울특별시 노원구,치매조기검진+치매예방 및 등록관리+치매치료비 지원+쉼터 및 일상생활훈련센터 운영+지역자원강화 사업 등,2026-04-01
중구 치매안심센터,치매안심센터,서울특별시 중구 퇴계로 460(신당동) 유락종합사회복지관 11층,서울특별시 중구 신당동 160-2,37.565091,127.022785,02-3396-6473,02-2238-3400,서울특별시 중구,"치매선별검사+맞춤형 치매예방 프로그램+지매환자 약제비, 검사비 지원 + 가족 지원(힐링 프로그램, 자조모임, 교육)+조호물품지원+인식개선사업 등",2026-06-05
김천시치매안심센터,치매안심센터,경상북도 김천시 체육공원길 21,경상북도 김천시 지좌동 440-128,36.119733,128.144528,054-421-2700,054-421-2960,경상북도 김천시,치매조기검진사업 및 치매치료관리비지원사업 등,2026-04-21
무안군치매안심센터,치매안심센터,전라남도 무안군 무안읍 면성1길 128,전라남도 무안군 무안읍 성남리 813-2,34.98725207,126.4732635,061-450-5075,061-450-5075,전남광주통합특별시 무안군,치매조기검진+치매상담 및 등록관리+치매예방교육+인지강화교실+쉼터+가족교실+자조모임+치매인식개선교육 등,2026-04-10
진상백학동기억샘터,치매안심센터,전라남도 광양시 진상면 신황길 126,전라남도 광양시 진상면 황죽리 250-18,35.05320532,127.6882086,061-797-4122,061-797-4814,전라남도 광양시,치매조기검진+인지강화프로그램,2026-03-23
광양시 치매안심센터,치매안심센터,전라남도 광양시 광양읍 호북길 13-3,전라남도 광양시 광양읍 칠성리 898-3,34.980119,127.583648,061-797-4122,061-797-4059,전라남도 광양시,치매조기검진+치매가족자조모임+사례관리+인지강화프로그램,2026-03-23
서산시치매안심센터,치매안심센터,충청남도 서산시 호수공원 6로 6,충청남도 서산시 읍내동 815-8,36.77458846,126.4445147,041-661-6571,041-661-6571,충청남도 서산시,치매조기검진+치매안심센터프로그램 운영+치매환자 맞춤형 사례관리+치매환자 조호물품 및 치매치료관리비 지원,2026-03-30
연천군치매안심센터,치매안심센터,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,38.02353445,127.0609628,031-839-4083,031-839-4165,경기도 연천군,치매조기검진+치매치료비지원+치매예방관리사업 등,2026-04-24
대전서구치매안심센터,치매안심센터,"대전광역시 서구 만년로74, 서구보건소 5층",대전광역시 서구 만년동 340,36.3670884877,127.3810425,042-288-4500,042-288-4470,대전광역시 서구,치매환자인지재활프로그램+고위험군인지강화교실+치매예방교실+찾아가는경로당치매예방교실+치매예방교육+치매파트너및플러스사업+가족교실+가족자조모임+선별검사및진단검사+치매치료관리비지원+조호물품지원+배회가능어르신인식표제공+지문등사전등록+공공후견지원사업+사례관리,2026-05-17
광주광역시 남구 치매안심센터,치매안심센터,광주광역시 남구 효우로 80,광주광역시 남구 노대동 737,35.106213,126.903801,062-607-4365,062-607-4361,전남광주통합특별시 남구,"치매조기검진, 치매인식개선, 치매환자보호자 등록관리",2026-03-31
연수구치매안심센터,치매안심센터,인천광역시 연수구 예술로20번길 15,인천광역시 연수구 선학동 100-2,37.4357471,126.699593,032-749-8934,032-749-8934,인천광역시 연수구,무료치매검사+치매환자등록+치매조호물품+프로그램 운영,2026-03-25
대구북구치매안심센터,치매안심센터,"대구광역시 북구 성북로49, 5층",대구광역시 북구 침산동 521-2,35.8918696,128.588898,053-665-4267,053-665-3135,대구광역시 북구,치매조기검진+치매치료관리비지원+조호물품 제공+치매예방프로그램+쉼터운영+가족지원+치매환자 실종예방사업+맞춤형사례관리+치매인식개선사업 등,2026-05-04
장성군치매안심센터,치매안심센터,전라남도 장성군 장성읍 성산5길 17,전라남도 장성군 장성읍 성산리 178-2,35.3233003,126.808367,061-390-7164,061-390-7164,전남광주통합특별시 장성군,"치매상담 및 등록관리사업, 치매조기검진사업, 치매검사비 자원, 치매예방관리사업, 치매환자쉼터, 배회가능 어르신 인식표 보급 사업, 치매치료관리비 지원, 조호물품 제공, 치매가족 및 보호자 지원사업, 치매인식개선사업, 치매파트너 사업, 치매안심마을 운영",2026-02-10
태백시치매안심센터,치매안심센터,강원특별자치도 태백시 태백로 905,강원특별자치도 태백시 황지동 20-8,37.176676,128.9924305,033-552-4000,033-550-3042,강원특별자치도 태백시,"환자쉼터+치매환자 가족 지지모임+치매조기검진(선별, 진단, 감별검사)+치매환자 등록관리+맞춤형사례관리+환자 지원서비스(치료관리비, 조호물품제공)+치매예방교실+이동 조기검진+치매파트너 양성 및 플러스 활동+실종예방지원서비스(인식표, 배회감지기, 지문사진등록사업) 등",2026-03-10
파주시치매안심센터,치매안심센터,경기도 파주시 조리읍 봉천로 68,경기도 파주시 조리읍 봉일천리 188-9,37.74507907,126.8050112,031-940-3740,031-940-3740,경기도 파주시,치매인식개선 및 예방+조기검진사업,2026-03-16
남양주풍양보건소 치매안심센터,치매안심센터,경기도 남양주시 진접읍 금강로 1509-26,경기도 남양주시 진접읍 장현리 68-39,37.726331,127.189819,031-590-8381,031-590-8381,경기도 남양주시,치매조기검진+치매환자쉼터+치매가족지원+치매예방관리+치매인식개선,2026-03-16
남양주보건소 치매안심센터,치매안심센터,경기도 남양주시 경춘로 522,경기도 남양주시 다산동 6198,37.610537,127.171235,031-590-8700,031-590-8700,경기도 남양주시,치매조기검진+치매환자쉼터+치매가족지원+치매예방관리+치매인식개선,2026-03-16
평택시 송탄치매안심센터,치매안심센터,경기도 평택시 서정로 295(송탄보건소옆),경기도 평택시 서정동 산12,37.065701,127.066497,031-8024-7257,031-8024-7257,경기도 평택시,치매조기검진+치매환자 쉼터+치매예방교실+인지강화교실+치매가족교실+인식개선캠페인 등,2026-03-04
평택시치매안심센터 안중분소,치매안심센터,"경기도 평택시 안중읍 안현로서9길 24, 3층","경기도 평택시 안중읍 현화리 834-10, 3층",36.97815461,126.922304,031-8024-8677,031-8024-8677,경기도 평택시,치매조기검진사업+치매환자 프로그램+치매예방교육 및 인지재활+가족프로그램 운영 등,2026-03-04
평택시치매안심센터,치매안심센터,"경기도 평택시 중앙1로56번길 25, 2층","경기도 평택시 비전동 631, 2층",36.996253,127.089193,031-8024-4399,031-8024-4399,경기도 평택시,치매조기검진사업+치매환자 프로그램+치매예방교육 및 인지재활+가족프로그램 운영 등,2026-03-04
부산광역시광역치매센터,광역치매센터,부산광역시 서구 대신공원로26,부산광역시 서구 동대신동3가 552,35.12031397,129.017942,051-888-3402,051-240-2560,부산광역시,치매예방 챌린지 <기억 쑥쑥 뇌 튼튼 요일표> 프로그램,2026-03-05
사천시치매안심센터,치매안심센터,경상남도 사천시 중앙로 212,경상남도 사천시 벌리동 104-1,34.94435219,128.0811474,055-831-2114,055-831-5860,경상남도 사천시,치매조기검진 및 등록사업+맞춤형사례관리+치매치료관리비 지원+조호물품 제공+치매환자 쉼터 및 가족카페 운영+치매예방교실 운영+치매인식개선 사업+치매어르신 실종예방 사업,2026-02-12
화순군치매안심센터,치매안심센터,전라남도 화순군 화순읍 충의로 40,전라남도 화순군 화순읍 삼천리 701,35.055391,126.982021,061-379-5318,061-379-5317,전남광주통합특별시 화순군,치매선별검사+치매예방프로그램+치매인지재활프로그램+치매가족 지원+치매치료관리비 지원 등,2026-01-22
여수시치매안심센터,치매안심센터,전라남도 여수시 신월로 794,전라남도 여수시 봉강동 323-11,34.73912089,127.7260546,061-659-5440,061-659-5440,전남광주통합특별시 여수시,치매선별검사(MMSE-DS)+치매조기검진비 지원+치매치료관리비 지원+치매실종예방서비스 지원+치매파트너모집+치매예방프로그램+치매환자가족프로그램,2026-02-13
화천군 치매안심센터,치매안심센터,강원특별자치도 화천군 화천읍 강변로 111,강원특별자치도 화천군 화천읍 중리 242-4,38.10734123,127.709121,033-442-4424,033-440-2809,강원특별자치도 화천군,치매검사+원격진료+주간재활프로그램 운영,2026-03-13
서구치매안심센터,치매안심센터,대구광역시 서구 북비산로 71길 7,대구광역시 서구 비산동 42-107,35.88016031,128.5723999,053-663-3811,053-663-3811,대구광역시 서구,치매조기검진+치매예방프로그램+쉼터인지재활프로그램+치매가족교실 등,2026-02-02
동구보건소 치매안심센터,치매안심센터,대구광역시 동구 동촌로 79,대구광역시 동구 검사동 1005-8,35.88812099,128.651234,053-662-3175,053-662-3175,대구광역시 동구,인지재활 및 가족지지 프로그램,2026-03-20
동대문구 치매안심센터,치매안심센터,서울특별시 동대문구 홍릉로 81,서울특별시 동대문구 청량리동 203-1,37.58751921,127.0427044,02-2171-6087,02-957-3062,서울특별시 동대문구,치매조기검진+치매환자 등록관리+치매환자 인지재활프로그램+가족치유 프로그램+기억키움학교 운영,2026-02-20
당진시치매안심센터,치매안심센터,충청남도 당진시 서부로 56,충청남도 당진시 채운동 1040,36.887359689,126.6304725078,041-360-6269,041-360-6269,충청남도 당진시,"치매 상담 및 등록관리 사업, 치매 조기검진 사업, 치매 예방관리 사업, 치매환자 관리 지원사업, 치매 가족 및 보호자 지원사업, 치매인식개선 및 교육홍보 사업, 치매안심마을 운영, 치매 주간보호소 운영",2026-01-05
진해보건소 치매안심센터,치매안심센터,경상남도 창원시 진해구 중원동로 62,경상남도 창원시 진해구 중앙동 11-1,35.149898,128.661939,055-225-6692,055-225-6692,경상남도 창원시,치매인지재활+치매가족모임+무료치매검사+치매극복의날 기념행사,2026-01-29
마산보건소 치매안심센터,치매안심센터,경상남도 창원시 마산합포구 월영동북로15,경상남도 창원시 마산합포구 해운동 61-1,35.1823985097,128.5628996684,055-225-5993,055-225-5993,경상남도 창원시,치매인지재활+치매가족모임+무료치매검사+치매극복의날 기념행사,2026-01-29
창원보건소 치매안심센터,치매안심센터,경상남도 창원시 성산구 마디미로73번길 10,경상남도 창원시 성산구 상남동 37-3,35.218325,128.6823024,055-225-5748,055-225-5794,경상남도 창원시,치매인지재활+치매가족모임+무료치매검사+치매극복의날 기념행사,2026-01-29
화성시치매안심센터 동부분소,치매안심센터,경기도 화성시 병점구 떡전골로 72-3,경기도 화성시 병점구 병점동 400-6,37.20527854,127.0349013,031-5189-1080,031-5189-4431,경기도 화성시,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+맞춤형 사례관리사업,2026-02-01
화성시치매안심센터 동탄분소,치매안심센터,경기도 화성시 동탄구 노작로 226-9,경기도 화성시 동탄구 석우동 60,37.20701031,127.078776121,031-5189-1080,031-5189-4377,경기도 화성시,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+쉼터 운영사업+맞춤형 사례관리사업,2026-02-01
화성시치매안심센터 봉담분소,치매안심센터,경기도 화성시 효행구 봉담읍 동화새터길 109,경기도 화성시 효행구 봉담읍 동화리 614,37.21705403,126.9611275,031-5189-1080,031-5189-6269,경기도 화성시,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+맞춤형 사례관리사업,2026-02-01
화성시치매안심센터,치매안심센터,경기도 화성시 만세구 향남읍 3.1만세로 1055,경기도 화성시 만세구 향남읍 발안리 309,37.12928395,126.9046036,031-5189-1080,031-5189-1080,경기도 화성시,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+맞춤형 사례관리사업,2026-02-01
상주시치매안심센터,치매안심센터,경상북도 상주시 중앙로 111,경상북도 상주시 무양동 33-4,36.41690111,128.1499972,054-535-4000,054-537-6514,경상북도 상주시,치매통합관리서비스,2026-01-20
해남군 치매안심센터,치매안심센터,전라남도 해남군 해남읍 해남로 46,전라남도 해남군 해남읍 해리 186,34.57046051,126.6120436,061-531-3704,061-531-3704,전남광주통합특별시 해남군,치매조기검진+사례관리+치매환자 쉼터 및 가족지원+치매예방 등 프로그램,2026-01-01
부안군 치매안심센터,치매안심센터,전북특별자치도 부안군 부안읍 오리정로 124,전북특별자치도 부안군 부안읍 봉덕리 551-2,35.72283463,126.7355916,,063-580-3066,전북특별자치도 부안군,무료치매검사+진단검사+치매극복의 날 기념행사+쉼터 운영 등,2026-01-15
임실군치매안심센터,치매안심센터,전북특별자치도 임실군 임실읍 호국로 1680,전북특별자치도 임실군 임실읍 이도리 270-8,35.6124995,127.2869773,063-640-3100,063-640-3371,전북특별자치도 임실군,치매상담 및 등록관리+치매인식개선 및 예방사업+쉼터 및 가족지원사업+치매환자 맞춤형 집중 사례관리+치매환자 배회감지기 지원사업,2026-01-27
남원시 치매안심센터,치매안심센터,전북특별자치도 남원시 요천로 1285,전북특별자치도 남원시 조산동 455,35.39783844,127.3639897,063-620-7725,063-620-7725,전북특별자치도 남원시,치매인식 개선 및 예방사업+치매조기검진+맞춤형 사례관리+치매치료관리비지원+조호물품 지원+치매환자 및 가족지원사업+치매 극복의 날 기념행사+치매안심마을 운영 등,2026-01-12
안산시상록수치매안심센터,치매안심센터,"경기도 안산시 상록구 차돌배기로1길 5, 상록수보건소 3층",경기도 안산시 상록구 사동 1584,37.30026357,126.8450629,1666-1234,031-481-5848,경기도 안산시,조기검진+약제비지원+사례관리+예방교육+쉼터및가족카페운영+치매파트너양성,2026-02-24
안산시단원치매안심센터,치매안심센터,"경기도 안산시 단원구 화랑로 250, 단원보건소 3층",경기도 안산시 단원구 초지동 666-8,37.32106713,126.8152625,1666-1234,031-481-6541,경기도 안산시,조기검진+약제비지원+사례관리+예방교육+쉼터및가족카페운영+치매파트너양성,2026-02-24
광산구치매안심센터,치매안심센터,광주광역시 광산구 용아로379번길 77(산정동,광주광역시 광산구 산정동 1033,35.17615122,126.8002346,062-960-6930,062-960-6930,전남광주통합특별시 광산구,치매조기검진+인지프로그램+가족지원사업+사례관리+조호물품+인식개선 등,2026-02-04
부산광역시남구치매안심센터,치매안심센터,부산광역시 남구 못골로 23,부산광역시 남구 대연동 1268-3,35.13606784,129.0849507,051-607-3781,051-607-3781,부산광역시 남구,치매조기검진+인지재활프로그램+고위험군 인지강화교실+치매예방교실 등,2026-02-11
강서구치매안심센터,치매안심센터,"서울특별시 강서구 화곡로 371, 경향교회선교관 3층",,37.556963,126.8522421,02-2600-5877,02-3663-0943,서울특별시 강서구,무료치매검진 및 진단+치매예방교육+치매예방인지재활프로그램+치매가족지지 프로그램+실종예방프로그램+조호물품지원 등,2026-02-06
고성군치매안심센터,치매안심센터,경상남도 고성군 고성읍 중앙로 35,경상남도 고성군 고성읍 성내리 27,34.97451724,128.3244477,055-670-4851,055-670-4851,경상남도 고성군,치매조기검진+치매치료관리비+검진비 지원+치매환자 조호물품 제공+치매환자 실종예방 사업+치매환자 쉼터+예방교실 운영+치매환자 가족지원사업+인식개선 교육·홍보,2026-01-30
양산시치매안심센터,치매안심센터,경상남도 양산시 중앙로 7-32,경상남도 양산시 다방동 506-3,35.33215753,129.0379947,055-392-5175,055-392-5175,경상남도 양산시,치매조기검진 및 예방 사업+치매치료비 지원+치매 환자 및 가족 지원 사업,2026-01-20
거제시 치매안심센터,치매안심센터,경상남도 거제시 거제중앙로13길 25,경상남도 거제시 고현동 159-11,34.88218472,128.6236992,055-639-6200,055-639-6226,경상남도 거제시,치매환자 등록 및 관리+치매조기검진+치매예방교육 및 인식개선+치매가족교육 및 자조모임+치매환자 쉼터프로그램운영,2026-01-16
김해시서부보건소분소,치매안심센터,경상남도 김해시 능동로 149,경상남도 김해시 부곡동 1157-8,35.202341,128.8072142,055-330-8391,055-330-8391,경상남도 김해시,치매상담 및 등록,2026-01-26
치매안심센터 주촌분소,치매안심센터,경상남도 김해시 주촌면 주선로 29-1,경상남도 김해시 주촌면 선지리 635-1,35.234777,128.845757,055-320-5971,055-320-5971,경상남도 김해시,치매조기검진(선별+진단검사),2026-01-26
김해시치매안심센터,치매안심센터,경상남도 김해시 분성로727번길 8-35,경상남도 김해시 지내동 327-2,35.230025,128.922444,055-320-5961,055-320-5961,경상남도 김해시,인지재활프로그램,2026-01-26
영양군치매안심센터,치매안심센터,"경상북도 영양군 영양읍 동서대로 82, 3층 치매안심센터",경상북도 영양군 영양읍 동부리 164-1,36.66194441,129.1180656,054-680-5126,054-680-5126,경상북도 영양군,치매조기검진 및 등록사업+사례관리+치매치료관리비 지원+조호물품제공+치매환자쉼터 및 가족카페 운영+치매인식개선 및 교육홍보+치매어르신 실종예방 사업 등,2025-12-22
보령시치매안심센터,치매안심센터,충청남도 보령시 대천로 119,충청남도 보령시 죽정동 703-1,36.35633335,126.6045349,041-930-6871,041-930-6871,충청남도 보령시,건강체조+공예+웃음치료+노래교실+요리 등,2026-01-12
괴산군치매안심센터,치매안심센터,충청북도 괴산군 괴산읍 동진천길 43,충청북도 괴산군 괴산읍 동부리 641,36.80799723,127.7966873,043-830-2392,043-830-2392,충청북도 괴산군,치매선별검사+치매진단검사+가족교실+인지교실 등,2026-01-07
양평군치매안심센터,치매안심센터,경기도 양평군 양평읍 중앙로111번길 34-21,경기도 양평군 양평읍 공흥리 310-9,37.4966134,127.5051941,031-771-5773,031-771-5773,경기도 양평군,치매조기검진+치매환자지원사업 등,2026-01-07
남부치매안심센터,치매안심센터,경기도 이천시 장호원읍 서동대로8809번길 30-15,경기도 이천시 장호원읍 장호원리 371-1,37.11672581,127.6148957,031-6190-7227,031-6190-7227,경기도 이천시,치매조기검진사업+치매치료관리비지원사업+치매쉼터프로그램운영+치매환자가족(헤아림) 교육 및 자조모임운영+치매예방 홍보 교육 및 캠페인+치매파트너 모집+치매관련 정보제공+치매환자 배회인식표 제공+자원연계,2026-01-04
이천시치매안심센터,치매안심센터,경기도 이천시 부악로36 이천시보건소 1층,경기도 이천시 중리동 491 이천시보건소 1층,37.273877,127.433285,031-6190-7211,031-6190-7211,경기도 이천시,치매조기검진사업+치매치료관리비지원사업+치매쉼터프로그램운영+치매환자가족(헤아림) 교육 및 자조모임운영+치매예방 홍보 교육 및 캠페인+치매파트너 모집+치매관련 정보제공+치매환자 배회인식표 제공+자원연계,2026-01-04
동두천시치매안심센터,치매안심센터,경기도 동두천시 거북마루로 49,경기도 동두천시 생연동 714-10,37.89626429,127.0516304,031-860-3395,031-860-3395,경기도 동두천시,"치매조기검사(선별검사,진단검사,감별검사)+치매예방교육+인지강화프로그램+치매환자및가족지원프로그램 등",2026-01-09
울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225,울산광역시 중구 남외동 603-2,35.5694483,129.3504562,052-290-4367,052-290-4290,울산광역시 중구,무료치매선별검사+치매예방 인지건강프로그램+치매예방 가족교육,2026-01-20
